Date UTC;HR (%)
15/04/99 21h00;81
16/04/99 00h00;87
16/04/99 03h00;87
16/04/99 06h00;87
16/04/99 09h00;71
16/04/99 12h00;47
16/04/99 15h00;39
16/04/99 18h00;41
16/04/99 21h00;87
17/04/99 00h00;93
17/04/99 03h00;93
17/04/99 06h00;93
17/04/99 09h00;76
17/04/99 12h00;87
17/04/99 15h00;62
17/04/99 18h00;71
17/04/99 21h00;87
18/04/99 00h00;87
18/04/99 03h00;93
18/04/99 06h00;93
18/04/99 09h00;71
18/04/99 12h00;47
18/04/99 15h00;71
18/04/99 18h00;82
18/04/99 21h00;87
19/04/99 00h00;93
19/04/99 03h00;93
19/04/99 06h00;100
19/04/99 09h00;82
19/04/99 12h00;82
19/04/99 15h00;68
19/04/99 18h00;82
19/04/99 21h00;94
20/04/99 00h00;93
20/04/99 03h00;94
20/04/99 06h00;94
20/04/99 09h00;94
20/04/99 12h00;77
20/04/99 15h00;77
20/04/99 18h00;94
20/04/99 21h00;88
21/04/99 00h00;94
21/04/99 03h00;94
21/04/99 06h00;94
21/04/99 09h00;77
21/04/99 12h00;77
21/04/99 15h00;59
21/04/99 18h00;67
21/04/99 21h00;87
22/04/99 00h00;93
22/04/99 03h00;93
22/04/99 06h00;94
22/04/99 09h00;88
22/04/99 12h00;72
22/04/99 15h00;67
22/04/99 18h00;72
22/04/99 21h00;87
23/04/99 00h00;87
23/04/99 03h00;87
23/04/99 06h00;76
23/04/99 09h00;58
23/04/99 12h00;55
23/04/99 15h00;63
23/04/99 18h00;76
23/04/99 21h00;87
24/04/99 00h00;93
24/04/99 03h00;100
24/04/99 06h00;93
24/04/99 09h00;67
24/04/99 12h00;55
24/04/99 15h00;63
24/04/99 18h00;67
24/04/99 21h00;87
25/04/99 00h00;93
25/04/99 03h00;100
25/04/99 06h00;93
25/04/99 09h00;72
25/04/99 12h00;60
25/04/99 15h00;52
25/04/99 18h00;88
25/04/99 21h00;94
26/04/99 00h00;94
26/04/99 03h00;93
26/04/99 06h00;100
26/04/99 09h00;82
26/04/99 12h00;56
26/04/99 15h00;46
26/04/99 18h00;55
26/04/99 21h00;77
27/04/99 00h00;82
27/04/99 03h00;87
27/04/99 06h0027/04/99 09h00;68
27/04/99 12h00;52
27/04/99 15h00;52
27/04/99 18h00;46
27/04/99 21h00;59
28/04/99 00h00;77
28/04/99 03h00;88
28/04/99 06h00;88
28/04/99 09h00;77
28/04/99 12h00;59
28/04/99 15h00;82
28/04/99 18h00;82
28/04/99 21h00;77
29/04/99 00h00;72
29/04/99 03h00;94
29/04/99 06h00;94
29/04/99 09h00;88
29/04/99 12h00;60
29/04/99 15h00;43
29/04/99 18h00;43
29/04/99 21h00;77
30/04/99 00h00;94
30/04/99 03h00;93
30/04/99 06h00;94
30/04/99 09h00;68
30/04/99 12h00;46
30/04/99 15h00;46
30/04/99 18h00;64
30/04/99 21h00;77
01/05/99 00h00;88
01/05/99 03h00;94
01/05/99 06h00;88
01/05/99 09h00;68
01/05/99 12h00;44
01/05/99 15h00;44
01/05/99 18h00;46
01/05/99 21h00;64
02/05/99 00h00;77
02/05/99 03h00;82
02/05/99 06h00;88
02/05/99 09h00;77
02/05/99 12h00;53
02/05/99 15h00;39
02/05/99 18h00;53
02/05/99 21h00;77
03/05/99 00h00;94
03/05/99 03h00;94
03/05/99 06h00;100
03/05/99 09h00;82
03/05/99 12h00;73
03/05/99 15h00;82
03/05/99 18h00;94
03/05/99 21h00;94
04/05/99 00h00;100
04/05/99 03h00;94
04/05/99 06h00;94
04/05/99 09h00;94
04/05/99 12h00;88
04/05/99 15h00;82
04/05/99 18h00;88
04/05/99 21h00;88
05/05/99 00h00;88
05/05/99 03h00;94
05/05/99 06h00;88
05/05/99 09h00;82
05/05/99 12h00;57
05/05/99 15h00;53
05/05/99 18h00;56
05/05/99 21h00;82
06/05/99 00h00;94
06/05/99 03h00;94
06/05/99 06h00;94
06/05/99 09h00;73
06/05/99 12h00;54
06/05/99 15h00;34
06/05/99 18h00;54
06/05/99 21h00;64
07/05/99 00h00;83
07/05/99 03h00;94
07/05/99 06h00;88
07/05/99 09h00;94
07/05/99 12h00;73
07/05/99 15h00;68
07/05/99 18h00;82
07/05/99 21h00;82
08/05/99 00h00;94
08/05/99 03h00;93
08/05/99 06h00;94
08/05/99 09h00;68
08/05/99 12h00;43
08/05/99 15h00;35
08/05/99 18h00;41
08/05/99 21h00;72
09/05/99 00h00;82
09/05/99 03h00;87
09/05/99 06h00;82
09/05/99 09h00;56
09/05/99 12h00;50
09/05/99 15h00;30
09/05/99 18h00;48
09/05/99 21h00;53
10/05/99 00h00;88
10/05/99 03h00;94
10/05/99 06h00;94
10/05/99 09h00;83
10/05/99 12h00;57
10/05/99 15h00;60
10/05/99 18h00;60
10/05/99 21h00;68
11/05/99 00h00;72
11/05/99 03h00;68
11/05/99 06h00;72
11/05/99 09h00;69
11/05/99 12h00;50
11/05/99 15h00;47
11/05/99 18h00;60
11/05/99 21h00;83
12/05/99 00h00;88
12/05/99 03h00;88
12/05/99 06h00;94
12/05/99 09h00;73
12/05/99 12h00;61
12/05/99 15h00;48
12/05/99 18h00;64
12/05/99 21h00;83
13/05/99 00h00;88
13/05/99 03h00;94
13/05/99 06h00;88
13/05/99 09h00;78
13/05/99 12h00;57
13/05/99 15h00;57
13/05/99 18h00;65
13/05/99 21h00;88
14/05/99 00h0014/05/99 03h00;94
14/05/99 06h00;94
14/05/99 09h00;94
14/05/99 12h00;77
14/05/99 15h00;82
14/05/99 18h00;77
14/05/99 21h00;77
15/05/99 00h00;88
15/05/99 03h00;88
